Entity,Code,Date,people_vaccinated_per_hundred
California,,2021-01-14,2.03
California,,2021-01-15,2.19
California,,2021-01-19,3.03
California,,2021-01-20,3.18
California,,2021-01-21,3.38
California,,2021-01-22,3.74
California,,2021-01-23,4.21
California,,2021-01-24,4.65
California,,2021-01-25,4.95
California,,2021-01-26,5.2
California,,2021-01-27,5.46
California,,2021-01-28,5.77
California,,2021-01-29,6.11
California,,2021-01-30,6.49
California,,2021-01-31,6.88
California,,2021-02-01,7.24
California,,2021-02-02,7.44
California,,2021-02-03,7.71
California,,2021-02-04,7.81
California,,2021-02-05,8.17
California,,2021-02-06,8.58
California,,2021-02-07,9.25
California,,2021-02-08,9.65
California,,2021-02-09,9.82
California,,2021-02-10,10.11
California,,2021-02-11,10.4
California,,2021-02-12,10.69
California,,2021-02-13,11
California,,2021-02-14,11.37
California,,2021-02-16,11.92
California,,2021-02-17,12.06
California,,2021-02-18,12.31
California,,2021-02-19,13.06
California,,2021-02-20,13.38
California,,2021-02-21,13.73
California,,2021-02-22,13.93
California,,2021-02-23,14.1
California,,2021-02-24,14.3
California,,2021-02-25,14.54
California,,2021-02-26,14.86
California,,2021-02-27,15.2
California,,2021-02-28,15.57
California,,2021-03-01,15.96
California,,2021-03-02,16.53
California,,2021-03-03,16.89
California,,2021-03-04,17.09
California,,2021-03-05,17.41
California,,2021-03-06,17.94
California,,2021-03-07,18.27
California,,2021-03-08,18.52
California,,2021-03-09,18.73
Colorado,,2021-01-12,3.26
Colorado,,2021-01-13,3.44
Colorado,,2021-01-14,3.63
Colorado,,2021-01-15,3.89
Colorado,,2021-01-19,4.84
Colorado,,2021-01-20,4.99
Colorado,,2021-01-21,5.15
Colorado,,2021-01-22,5.44
Colorado,,2021-01-23,5.44
Colorado,,2021-01-24,6.17
Colorado,,2021-01-25,6.34
Colorado,,2021-01-26,6.46
Colorado,,2021-01-27,6.63
Colorado,,2021-01-28,6.84
Colorado,,2021-01-29,7.12
Colorado,,2021-01-30,7.35
Colorado,,2021-01-31,7.65
Colorado,,2021-02-01,7.91
Colorado,,2021-02-02,8.07
Colorado,,2021-02-03,8.21
Colorado,,2021-02-04,8.43
Colorado,,2021-02-05,8.6
Colorado,,2021-02-06,8.89
Colorado,,2021-02-07,9.18
Colorado,,2021-02-08,9.38
Colorado,,2021-02-09,9.41
Colorado,,2021-02-10,9.68
Colorado,,2021-02-11,9.92
Colorado,,2021-02-12,10.18
Colorado,,2021-02-13,10.58
Colorado,,2021-02-14,10.96
Colorado,,2021-02-16,11.93
Colorado,,2021-02-17,12.24
Colorado,,2021-02-18,12.58
Colorado,,2021-02-19,13.56
Colorado,,2021-02-20,13.91
Colorado,,2021-02-21,14.19
Colorado,,2021-02-22,14.44
Colorado,,2021-02-23,14.46
Colorado,,2021-02-24,14.71
Colorado,,2021-02-25,14.94
Colorado,,2021-02-26,15.22
Colorado,,2021-02-27,15.23
Colorado,,2021-02-28,15.65
Colorado,,2021-03-01,16.06
Colorado,,2021-03-02,16.25
Colorado,,2021-03-03,16.57
Colorado,,2021-03-04,16.88
Colorado,,2021-03-05,17.23
Colorado,,2021-03-06,17.71
Colorado,,2021-03-07,18.18
Colorado,,2021-03-08,18.19
Colorado,,2021-03-09,18.44
Connecticut,,2021-01-12,1.58
Connecticut,,2021-01-13,1.65
Connecticut,,2021-01-14,4.39
Connecticut,,2021-01-15,4.68
Connecticut,,2021-01-19,5.66
Connecticut,,2021-01-20,5.98
Connecticut,,2021-01-21,6.48
Connecticut,,2021-01-22,6.98
Connecticut,,2021-01-23,7.41
Connecticut,,2021-01-24,7.72
Connecticut,,2021-01-25,7.93
Connecticut,,2021-01-26,8.17
Connecticut,,2021-01-27,8.49
Connecticut,,2021-01-28,8.84
Connecticut,,2021-01-29,9.23
Connecticut,,2021-01-30,9.56
Connecticut,,2021-01-31,9.81
Connecticut,,2021-02-01,10.03
Connecticut,,2021-02-02,10.14
Connecticut,,2021-02-03,10.26
Connecticut,,2021-02-04,10.54
Connecticut,,2021-02-05,10.87
Connecticut,,2021-02-06,11.09
Connecticut,,2021-02-07,11.28
Connecticut,,2021-02-08,11.41
Connecticut,,2021-02-09,11.57
Connecticut,,2021-02-10,11.87
Connecticut,,2021-02-11,12.26
Connecticut,,2021-02-12,12.63
Connecticut,,2021-02-13,12.98
Connecticut,,2021-02-14,13.27
Connecticut,,2021-02-16,13.87
Connecticut,,2021-02-17,14.28
Connecticut,,2021-02-18,14.73
Connecticut,,2021-02-19,15.67
Connecticut,,2021-02-20,16.05
Connecticut,,2021-02-21,16.25
Connecticut,,2021-02-22,16.7
Connecticut,,2021-02-23,16.9
Connecticut,,2021-02-24,17.34
Connecticut,,2021-02-25,17.66
Connecticut,,2021-02-26,18.31
Connecticut,,2021-02-27,18.91
Connecticut,,2021-02-28,19.45
Connecticut,,2021-03-01,20.07
Connecticut,,2021-03-02,20.27
Connecticut,,2021-03-03,20.76
Connecticut,,2021-03-04,21.4
Connecticut,,2021-03-05,22.26
Connecticut,,2021-03-06,23.17
Connecticut,,2021-03-07,24.13
Connecticut,,2021-03-08,24.79
Connecticut,,2021-03-09,25.18
Delaware,,2021-01-12,1.63
Delaware,,2021-01-13,1.71
Delaware,,2021-01-14,2.63
Delaware,,2021-01-15,2.63
Delaware,,2021-01-19,3.66
Delaware,,2021-01-20,3.97
Delaware,,2021-01-21,4.3
Delaware,,2021-01-22,4.65
Delaware,,2021-01-23,5.08
Delaware,,2021-01-24,5.4
Delaware,,2021-01-25,5.66
Delaware,,2021-01-26,5.82
Delaware,,2021-01-27,6.67
Delaware,,2021-01-28,7.08
Delaware,,2021-01-29,7.46
Delaware,,2021-01-30,7.91
Delaware,,2021-01-31,8.52
Delaware,,2021-02-01,8.68
Delaware,,2021-02-02,8.74
Delaware,,2021-02-03,9.07
Delaware,,2021-02-04,9.21
Delaware,,2021-02-05,9.48
Delaware,,2021-02-06,9.75
Delaware,,2021-02-07,10.11
Delaware,,2021-02-08,10.35
Delaware,,2021-02-09,10.41
Delaware,,2021-02-10,10.61
Delaware,,2021-02-11,10.86
Delaware,,2021-02-12,11.1
Delaware,,2021-02-13,11.49
Delaware,,2021-02-14,11.77
Delaware,,2021-02-16,12.08
Delaware,,2021-02-17,12.19
Delaware,,2021-02-18,12.48
Delaware,,2021-02-19,13.43
Delaware,,2021-02-20,13.68
Delaware,,2021-02-21,13.68
Delaware,,2021-02-22,13.83
Delaware,,2021-02-23,13.88
Delaware,,2021-02-24,13.96
Delaware,,2021-02-25,14.15
Delaware,,2021-02-26,14.46
Delaware,,2021-02-27,14.78
Delaware,,2021-02-28,15.08
Delaware,,2021-03-01,15.25
Delaware,,2021-03-02,15.25
Delaware,,2021-03-03,15.7
Delaware,,2021-03-04,16.18
Delaware,,2021-03-05,16.62
Delaware,,2021-03-06,17.15
Delaware,,2021-03-07,17.81
Delaware,,2021-03-08,17.72
Delaware,,2021-03-09,17.87
District of Columbia,,2021-01-13,0.28
District of Columbia,,2021-01-14,4.24
District of Columbia,,2021-01-15,4.49
District of Columbia,,2021-01-19,5.63
District of Columbia,,2021-01-20,5.83
District of Columbia,,2021-01-21,6.15
District of Columbia,,2021-01-22,6.34
District of Columbia,,2021-01-23,6.67
District of Columbia,,2021-01-24,6.98
District of Columbia,,2021-01-25,7.21
District of Columbia,,2021-01-26,7.28
District of Columbia,,2021-01-27,7.59
District of Columbia,,2021-01-28,7.88
District of Columbia,,2021-01-29,8.1
District of Columbia,,2021-01-30,8.44
District of Columbia,,2021-01-31,8.75
District of Columbia,,2021-02-01,8.96
District of Columbia,,2021-02-02,9.1
District of Columbia,,2021-02-03,9.24
District of Columbia,,2021-02-04,9.44
District of Columbia,,2021-02-05,9.92
District of Columbia,,2021-02-06,10.18
District of Columbia,,2021-02-07,10.42
District of Columbia,,2021-02-08,10.68
District of Columbia,,2021-02-09,10.68
District of Columbia,,2021-02-10,10.68
District of Columbia,,2021-02-11,11.3
District of Columbia,,2021-02-12,11.44
District of Columbia,,2021-02-13,11.58
District of Columbia,,2021-02-14,12.01
District of Columbia,,2021-02-16,12.36
District of Columbia,,2021-02-17,12.51
District of Columbia,,2021-02-18,12.6
District of Columbia,,2021-02-19,15.12
District of Columbia,,2021-02-20,15.27
District of Columbia,,2021-02-21,15.45
District of Columbia,,2021-02-22,15.53
District of Columbia,,2021-02-23,15.72
District of Columbia,,2021-02-24,16.04
District of Columbia,,2021-02-25,16.21
District of Columbia,,2021-02-26,16.44
District of Columbia,,2021-02-27,17.08
District of Columbia,,2021-02-28,18.1
District of Columbia,,2021-03-01,18.3
District of Columbia,,2021-03-02,18.38
